,predicted_mean
583,-1.9253561086232067
584,0.1073963594566898
585,-2.520700167700181
586,1.4527865501581845
587,-0.5629986913796792
588,3.397350398561493
589,-0.3846979211935695
590,-0.08580357719570486
591,-1.9932378843178586
592,0.012432204638918698
593,0.11253553607248934
594,1.555859897686859
595,1.899347951217063
596,-0.7576746359240158
597,-0.6060267983557961
598,-1.7154836041550248
599,0.9161523576826489
600,-0.12811964711705603
601,2.9204180913771474
602,-0.3821367044762072
603,0.10466530930148021
604,-2.120170050953612
605,0.43060165476850276
606,-0.32729332356511565
607,2.0308352937985688
608,1.0536910586493144
609,-0.02129128793492141
610,-1.1984086778356284
611,-0.9445809682684485
612,0.29976839503108055
