,Date,LSTM_Predictions
0,2025-05-02,0.85359174
1,2025-05-05,-0.18361658
2,2025-05-06,-0.58273363
3,2025-05-07,-0.7076592
4,2025-05-08,-1.0263093
5,2025-05-09,-0.94271415
6,2025-05-12,-0.82648283
7,2025-05-13,0.3712836
8,2025-05-14,0.39063025
9,2025-05-15,0.25300285
10,2025-05-16,0.1242534
11,2025-05-19,0.34607208
12,2025-05-20,0.27152607
13,2025-05-21,0.08044712
14,2025-05-22,-0.3286224
15,2025-05-23,-0.38468164
16,2025-05-27,-0.9998802
17,2025-05-28,-0.8220347
18,2025-05-29,-0.8580151
19,2025-05-30,-0.82092935
20,2025-06-02,-0.6389009
21,2025-06-03,-0.5161692
22,2025-06-04,-0.26796213
23,2025-06-05,-0.25381267
24,2025-06-06,-0.29491165
25,2025-06-09,0.06756433
26,2025-06-10,-0.028466102
27,2025-06-11,-0.07179826
28,2025-06-12,-0.47727814
29,2025-06-13,-0.35591698
